Hour;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
Wind2;31.16702808;29.42560956;27.67229069;28.6322526;28.75125615;29.22330354;28.63621939;29.73898556;30.42127254;31.76601259;33.13058656;36.40715079;38.46194531;40.52864019;41.39339927;42.51599937;45.49505474;42.6112022;37.74792405;34.48722695;35.98270482;35.47098958;32.50383456;31.20669593
Solar8;0;0;0;0;0.000148093;7.145205479;32.11573491;64.62436135;84.54661237;90.86027397;92.64435394;93.03109959;92.74801925;91.19400222;86.71432803;73.32647168;41.89751944;14.73283969;0.622139948;0;0;0;0;0
